Collection_ID	Family	Genus	Species	Country	Province	County	Latitude	Longitude	Month	Year	Population	Eye	Mouth_position	Caudal_fin_shape	Eye	Eye_ball	Snout	Mouth_width	Mouth_length	AD	B_height	C_height	D_height	DI	AE	FG	FH	IM	IK	I_depth	JL	JW	K_depth	NO	O_depth	NP	QR	QU	ST	RV	AS	AT	DID
197061	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	5.68	8.97	7.93	6.18	20.34	7.45	11.48	16.84	38.94	26.55	3.89	20.5	20.71	13.47	28.47	17.05	4.34	22.95	8.43	15.9	17.82	15.09	26.97	14.67	27.99	105.69	120.36	94.93
197062	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	5.18	9.24	7.67	6.22	19.98	7.2	12.01	16.18	36.25	25.75	3.25	20.86	18.63	13.97	30.2	15.16	4.33	22.44	9.48	15.3	15.94	14.46	24.92	14.79	24.61	98.23	113.02	74.44
197063	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	6.07	9.55	8.8	6.51	22.7	8.24	12.23	19.07	38.39	28.4	4.03	21.24	20.05	15.06	32.03	18.29	4.66	24.94	9.48	17.34	16.82	15.89	26.97	14.05	29.68	113.4	127.45	84.52
197064	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	5.14	7.82	7.08	6.16	18.69	7.63	10.57	14.25	34.12	23.76	3.98	18.44	17.05	11.78	24.41	14.85	3.82	20.27	8.2	13.37	15.57	12.55	24.6	12.78	24.14	94.85	107.63	68.86
197065	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	5.02	9.32	8.08	5.99	19.73	8.74	12.49	17.18	33.35	27.26	4.34	17.81	18.7	13.68	28.76	15.93	4.64	22.81	7.52	15.16	13.72	14.04	23.51	13.68	24.48	97.4	111.08	54.78
197066	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	5.27	8.44	6.92	5.61	18.76	7.04	11.81	16.22	34.53	26.48	2.98	19.27	20.89	12.75	28.46	16.31	3.82	22.12	8.56	15.56	17.39	13.4	25.25	12.89	26.68	96.05	108.94	72.83
197067	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	5	7.92	6.79	5.96	18.87	7.78	11.92	16.11	33.38	25.83	3.23	20.07	19.08	11.49	25.98	16.19	4.44	20.47	7.79	14.01	16.3	13.54	24.93	13.89	25.15	96.55	110.44	59.25
197068	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	4.35	6.54	6.12	4.32	14.84	6.79	9.38	13.27	29.03	20.14	3.01	15.32	15.09	9.78	23.85	13.14	3.01	19.85	6.52	12.78	12.27	10.97	19.57	10.41	19.64	79.22	89.63	44.39
197069	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	4.49	5.97	4.64	4.26	14.97	5.94	9.54	12.98	25.78	19.99	2.49	15.36	14.15	8.88	21.24	12.95	2.94	16.16	5.1	11	12.74	9.64	20.32	9.88	20.55	73.37	83.25	37.57
197294	Cyprinidae	Sinocyclocheilus	brevibarbatus	China	Guangxi 	Duan	23.99	107.99	July	1999	Bb1	Reduced	Sub-Terminal	forked	10.2	4.51	11.24	9.56	10.66	26.61	10.06	14.62	20.4	46.23	40.62	5.14	30.53	24.99	16.54	34.89	22.06	5.43	25.24	10.37	17.01	22.31	15.66	36.5	15.42	37.31	124.45	139.87	183.19
197295	Cyprinidae	Sinocyclocheilus	brevis	China	Guangxi	Luocheng	24.78	108.91	May	2011	Br2	Developed	Sub-Terminal	forked	8.02	3.28	5.65	6.29	5.48	17.92	7.67	9.85	14.35	32.66	22.76	3.16	20.07	19.82	10.75	22.87	15.52	4.04	16.71	6.65	11.57	14.57	10.37	25.59	11.66	NA	87.68	99.34	72.19
197296	Cyprinidae	Sinocyclocheilus	brevis	China	Guangxi	Luocheng	24.78	108.91	May	2011	Br2	Developed	Sub-Terminal	forked	3.04	2.2	2.79	3.02	3.51	9.26	3.74	5.61	7.64	14.94	11.8	1.64	8.39	NA	5.76	10.44	8.12	2.04	7.9	4	5.56	8.41	5.28	NA	NA	NA	43.02	NA	7.12
197297	Cyprinidae	Sinocyclocheilus	brevis	China	Guangxi	Luocheng	24.78	108.91	May	2011	Br2	Developed	Sub-Terminal	forked	2.67	1.96	2.05	1.98	2.82	6.79	2.55	3.99	5.55	9.35	8.5	0.92	4.33	NA	4.14	6.98	5.81	1.32	5.31	2.67	6.24	6.06	3.64	NA 	3.64	10.46	29.24	32.88	1.84
197301	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Gongcheng	24.83	110.83	May	2011	Ji1	Developed	Terminal	forked	NA	4.86	6.93	5.47	5.05	15.43	6.62	10.07	13.87	28.48	22.17	2.79	15.79	18.37	8.6	27.14	14.21	3.47	20.5	5.57	13.66	13.93	10.96	NA	NA	NA	81.84	NA	39.94
197302	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Gongcheng	24.83	110.83	May	2011	Ji1	Developed	Terminal	forked	NA	5.48	6.15	5.26	3.57	17.99	7.6	11.38	15.04	33.13	23.18	3.17	17.79	19.19	8.63	27.68	15.27	3.23	23.34	6.02	13.02	13.93	10.96	23.54	10.19	21.01	89.45	99.64	90.65
197303	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Gongcheng	24.83	110.83	May	2011	Ji1	Developed	Terminal	forked	NA	4.59	6.04	4.88	4.36	15.07	6.62	8.95	14.01	29.64	18.18	2.93	14.93	17.24	9	24.75	13.4	2.87	18.48	6.25	12.15	13.89	10.11	19.6	7.53	18.62	80.13	87.66	53.2
197304	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Gongcheng	24.83	110.83	May	2011	Ji1	Developed	Terminal	forked	NA	4.2	5.75	5.35	4.56	14.74	6.1	9.08	12.96	28.7	19.11	2.8	13.1	14.88	8.31	23.64	12.45	2.7	18.57	5.28	11.91	11.98	10.33	NA	10.67	NA	79.08	89.75	37.16
197305	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Gongcheng	24.83	110.83	May	2011	Ji1	Developed	Terminal	forked	NA	4.22	5.8	5.12	4.4	14.51	6.52	9.82	13.3	29.78	19.93	3.11	14.93	15.43	9.97	24.1	13.05	2.57	19.25	5.27	12.08	13.51	9.63	NA	9.76	NA	76.1	85.86	65.14
197306	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Gongcheng	24.83	110.83	May	2011	Ji1	Developed	Terminal	forked	NA	4.86	5.03	4.88	4.13	14.96	6.6	9.07	12.63	24.89	19.38	2.88	12.42	15.32	8.03	22.16	11.7	2.6	19.07	5.29	11.19	10.38	8.87	NA	10.51	19.31	71.05	81.56	40.07
197307	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Gongcheng	24.83	110.83	May	2011	Ji1	Developed	Terminal	forked	NA	4.53	5.17	5.59	4.12	13.84	6.34	8.8	12.85	26.71	16.99	2.75	13.79	15.2	8.08	23.6	11.47	2.6	18.34	4.73	11.05	12.03	8.9	17.91	7.22	19.08	75.02	82.24	47.25
197308	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Gongcheng	24.83	110.83	May	2011	Ji1	Developed	Terminal	forked	NA	3.9	4.84	4.84	3.53	14.27	6.35	8.96	12.53	26.82	18.09	2.69	12.1	14.04	6.86	20.99	12.52	1.91	16.23	4.55	10.74	11.67	9.27	NA	NA	NA	70.18	NA	46.4
197309	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Gongcheng	24.83	110.83	May	2011	Ji1	Developed	Terminal	forked	NA	4.07	4.01	3.9	3.45	14.17	6.59	8.86	12.6	25.82	18.18	3.07	12.65	13.49	7.09	19.54	11.97	2.48	15.98	4.03	10.28	10.62	6.78	10.07	8.06	NA	72.02	80.08	34.69
197311	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Gongcheng	24.83	110.83	May	2011	Ji1	Developed	Terminal	forked	NA	3.73	4.74	3.85	3.13	13.16	5.72	8.16	5.72	24.25	15.96	2.17	9.21	9.42	7.34	26.58	10.65	2.86	16.15	4.58	10.59	10.92	8.27	NA	NA	NA	66.39	NA	25.97
197312	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Gongcheng	24.83	110.83	June	2011	Ji1	Developed	Terminal	forked	NA	4.35	6.94	5.76	4.23	17.31	7.02	9.44	14.84	32.58	21.94	3.42	19.06	14.77	13.64	26	14.4	3.44	20.2	6.32	12.79	14.99	11.27	NA	NA	NA	88.51	NA	42.17
197313	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Gongcheng	24.83	110.83	June	2011	Ji1	Developed	Terminal	forked	NA	4.4	6.66	5.76	4.76	16.27	6.01	10.13	14.14	30.45	22.2	3.37	15.72	17.48	9.41	25.02	14.7	2.99	20	6.91	13.03	13.23	10.03	NA	9.99	NA	83.57	93.56	42.09
197314	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Gongcheng	24.83	110.83	June	2011	Ji1	Developed	Terminal	forked	NA	4.26	5.29	4.44	4.18	13.43	5.28	9.07	12.68	25.86	18.92	2.44	12.4	15.33	8.22	20.2	9.5	2.69	15.42	4.42	11.17	11.63	8.36	19.55	9.08	19.74	68.55	77.63	44.54
197315	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Gongcheng	24.83	110.83	June	2011	Ji1	Developed	Terminal	forked	NA	3.93	5.23	4.84	4.1	13.9	5.79	8.45	11.48	26.26	18.42	2.4	14.05	16.06	7.85	18.04	12.5	2.55	14.57	4.87	10.19	13.25	8.83	20.96	8.55	20.13	74.07	82.62	35.69
197316	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Gongcheng	24.83	110.83	June	2011	Ji1	Developed	Terminal	forked	NA	3.97	4.63	5.05	2.86	11.15	5.54	7.66	10.61	22.05	14.15	1.96	NA	NA	8.58	17.28	9.21	1.91	13.64	4.72	9.07	11.2	7.08	NA	5.84	NA	59.21	65.05	18
197318	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Gongcheng	24.83	110.83	June	2011	Ji1	Developed	Terminal	forked	NA	3.89	3.63	3.52	2.44	11.22	4.77	6.52	9.9	18.03	14.29	2.05	NA	11.33	5.73	14.62	NA	1.78	10.76	5.19	7.46	8.9	6.33	NA	NA	NA	53.26	NA	12.21
197320	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	4.37	5.41	5.14	4.16	13.19	4.58	7.72	11.51	23.42	17.84	2.5	13.56	11.91	8.26	17.92	11.56	2.55	15.08	4.97	9.29	12.27	8.24	19.81	11	20.08	61.64	72.64	23.82
197322	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	3.85	4.9	4.8	3.46	11.83	4.11	7.52	9.95	21.88	16.35	2.13	10.94	12.88	6.87	15.19	10.52	2.37	12.66	5.56	7.97	11.78	7.19	17.11	8.67	17.92	60.8	69.47	19.44
197323	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	4.38	5.52	5.37	3.81	12.88	4.63	8.11	11.47	24.26	17.86	2.26	13.87	13.45	8.03	17.89	12.11	2.4	14.83	7.14	9.6	11.86	9.29	17.6	11.41	20.19	68.33	79.74	27.41
197324	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	3.99	4.99	4.55	3.49	12.76	5.12	7.61	10.72	21.68	16.47	2.11	11.73	10.66	7.32	14.46	9.71	2.25	12.23	5.12	7.48	11.16	7.45	15.2	8.48	15.98	62.6	71.08	16.15
197325	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	3.91	4.8	4.4	3.49	12.43	4.26	7.12	9.99	18.77	16.65	1.98	12.21	NA	6.71	15.65	9.51	2.14	12.97	4.37	7.26	10.25	7.54	15.1	7.87	17.6	58.18	66.05	11.11
197326	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	4.1	5.43	4.96	4.34	13.39	5.39	8.51	11.93	21.98	18.51	2.2	12.59	12.63	7.54	17.51	10.48	2.16	13.48	2.38	8.68	9.49	7.99	16.68	9.69	17	64.65	74.34	19.25
197327	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	3.95	5.13	5.01	3.69	13.19	4.8	7.89	11.48	23	17.17	2.51	13.71	12.14	7.61	17.52	10.59	2.28	13.92	3.65	8.07	11.1	7.82	17.8	9.1	17.84	61.99	71.09	23.71
197328	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	3.77	4.79	4.11	3.54	12.5	4.85	7.41	10.3	19.11	16.48	1.85	10.43	11.24	7.27	14.61	8.73	1.89	10.97	4.17	7.15	9.22	7.07	15.19	7.84	15.55	55.51	63.35	14.23
197329	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	3.76	4.74	4.2	3.09	11.72	4.59	7.51	9.9	18.5	14.72	1.93	10.43	10.73	6.2	15.25	9.32	2.47	12.17	4.55	7.59	10.1	6.82	14.91	8.43	15.26	52.69	61.12	12.43
197330	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	3.2	4.9	3.92	3.23	11.51	5.07	7.09	10.51	19.06	15.26	1.87	11.8	NA	7.33	13.58	9.55	2.48	11	3.84	7.27	9.88	6.61	15.59	9.11	17.59	55.5	64.61	12.42
197331	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	Fuchuan	24.83	111.41	May	2011	Ji3	Developed	Terminal	forked	NA	3.41	4.8	4.06	3.17	11.47	4.14	7.07	9.68	18.47	15.42	1.85	10.61	10.85	6.95	13.83	8.94	1.72	11.33	4.1	6.74	9.79	7.05	15.22	7.13	15.04	54.73	61.86	13.17
197333	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	NA	NA	NA	NA	2011	NA	Developed	Terminal	forked	NA	4.85	9.4	7.54	4.9	19.23	NA	12.75	16.71	39.7	25.44	3.59	20.48	18.43	11.2	31.2	16.54	3.77	24.72	6.98	15.94	15.82	13.04	26.31	13.86	26.92	102.09	115.95	81.89
197334	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	NA	NA	NA	NA	2011	NA	Developed	Terminal	forked	NA	4.81	8.38	7.89	4.98	17.74	NA	11.43	15.39	35.27	23.76	3.75	18.26	20.53	13.11	27.84	15.93	3.07	22.66	7.7	14.15	14.6	11.8	24.71	9.89	NA	97.46	107.35	56.81
197335	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	NA	NA	NA	NA	2011	NA	Developed	Terminal	forked	NA	3.94	6.5	5.75	4.26	13.59	6.65	8.92	12.59	29.39	18.38	2.5	11.08	13.8	9.62	21.15	12.83	2.91	16.92	5.98	11.41	12.6	10.11	19.35	10.52	20.44	78.36	88.88	23.55
197336	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	NA	NA	NA	NA	2011	NA	Developed	Terminal	forked	NA	4.06	7.13	7.17	3.34	15.21	8.54	11.46	14.38	29.71	22.71	2.87	12.42	14.13	9.77	22.57	11.24	3.32	17.51	7.31	11.83	12.65	10.8	19.41	10.42	19.84	83.5	93.92	36.61
197337	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	NA	NA	NA	NA	2011	NA	Developed	Terminal	forked	NA	4.35	7.14	6.8	3.28	16.24	8.5	11.11	14.1	29.92	22.38	3	12.98	15.35	8.85	22.05	12.35	2.81	17.5	6.09	11.37	13.02	10.57	20.38	11.37	21.07	83.05	94.42	26.5
197338	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi 	NA	NA	NA	NA	2011	NA	Developed	Terminal	forked	NA	4.36	6.79	5.5	3.1	16.1	NA	9.48	13.18	29.22	20.17	2.65	14.69	14.51	9.3	20.41	14.15	2.21	16.24	6.01	10.82	12.5	10.04	20.59	10.33	21.82	79.17	89.5	26.51
197339	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi	Gongcheng	24.84	110.86	NA	2011	Ji1	Developed	Terminal	forked	NA	4.12	5.96	5.69	4.77	16.32	5.64	8.63	13.71	29.17	21.66	3.21	17.91	16.13	9.17	22.41	14.45	3.27	10.02	5.26	6.66	14.85	9.99	24.02	11.32	23.82	79.09	90.41	38.43
197340	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi	Gongcheng	24.84	110.86	NA	2011	Ji1	Developed	Terminal	forked	NA	3.95	6.7	6.08	5.55	16.16	6.48	9.2	13.37	30.73	21.31	3.33	16.33	15.87	9.37	25.79	13.25	3.69	21.42	6.31	12.87	13.49	10.76	22.52	8.95	24.3	84.2	93.15	55.93
197341	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi	Gongcheng	24.84	110.86	NA	2011	Ji1	Developed	Terminal	forked	NA	4.29	6.24	5.78	4.86	15.19	6.33	8.55	13.56	27.53	20.47	2.73	15.19	16.43	8.59	23.44	12.09	4.22	18.62	5.35	12.17	11.28	10.57	22.26	9.34	21.89	81.16	90.5	33.13
197342	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi	Gongcheng	24.84	110.86	NA	2011	Ji1	Developed	Terminal	forked	NA	3.78	6.97	6.28	4.34	15.12	6.24	8.98	13.16	31.26	19.69	3.32	17.77	19.01	9.18	23.23	13.43	2.85	18.94	5.07	12.23	13.81	11.49	NA	10.66	24.18	81.65	92.31	49.02
197343	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi	Gongcheng	24.84	110.86	NA	2011	Ji1	Developed	Terminal	forked	NA	3.38	5.93	5.39	4.53	14.86	5.92	8.15	12.2	26.22	18.49	2.54	13.68	15.5	9.46	19.36	12.45	2.75	15.91	5.03	10.14	12.08	9.65	19.51	7.8	20.46	73.77	81.57	31
197344	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi	Gongcheng	24.84	110.86	NA	2011	Ji1	Developed	Terminal	forked	NA	3.75	5.72	5.82	4.14	14.57	5.82	8.29	12.78	26.7	19.52	2.6	14.53	14.95	8.67	19.16	12.43	2.55	15.77	4.31	10.8	11.9	9.81	21.07	10.14	21.42	73.44	83.58	22.17
197345	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi	Gongcheng	24.84	110.86	NA	2011	Ji1	Developed	Terminal	forked	NA	3.47	5.65	5.15	4.72	13.85	5.04	7.46	11.41	26.84	17.32	2.36	14.18	16.37	8.56	19.01	13.31	2.49	15.53	6.14	10.58	10.78	9.28	22.03	10.02	22.32	74.06	84.08	32.38
197346	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi	Gongcheng	24.84	110.86	NA	2011	Ji1	Developed	Terminal	forked	NA	3.61	6.2	6.05	3.74	14.44	5.95	8.49	12.46	24.62	18.16	2.93	13.38	14.29	8.89	18.3	12.61	2.26	15.09	5.39	9.9	12.97	9.03	20.06	9.54	20.71	72.84	82.38	16.33
197347	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi	Gongcheng	24.84	110.86	NA	2011	Ji1	Developed	Terminal	forked	NA	3.73	5.13	5.61	4.06	13.58	5.25	7.21	11.34	23.85	17.01	2.83	13.05	15.08	8.4	18.27	11.26	4.17	14.9	5.64	8.91	12.76	8.89	20.3	9.59	19.95	69.12	78.71	14.02
197348	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi	Gongcheng	24.84	110.86	NA	2011	Ji1	Developed	Terminal	forked	NA	3.58	4.52	4.8	4.09	12.18	4.67	6.76	10.29	20.19	16	2.41	11.68	13.22	8.6	15.68	10.63	2.91	11.51	3.43	8.53	8.91	7.63	17.96	8.16	18.07	60.57	68.73	5.77
197349	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi	Gongcheng	24.84	110.86	NA	2011	Ji1	Developed	Terminal	forked	NA	3.62	5.96	5.57	3.35	14.4	7.89	9.07	11.78	23.73	18.93	2.56	12.14	13.79	9.9	16.8	11.29	2.76	13.43	5.06	8.49	12.59	8.52	19.55	9.02	19.65	68.39	77.41	14.33
197350	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi	Gongcheng	24.84	110.86	NA	2011	Ji1	Developed	Terminal	forked	NA	3.45	6.05	5.33	3.43	13.96	5.22	8.2	11.92	22.22	19.82	2.86	14.48	16.93	10.34	18.67	11.12	3.6	14.78	4.97	10.2	12.3	8.82	21.04	9.53	21.17	70.15	79.68	13.43
197351	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi	Gongcheng	24.84	110.86	NA	2011	Ji1	Developed	Terminal	forked	NA	3.56	6.04	5.42	3.96	13.36	6.52	8.26	11.82	24.18	17.66	2.56	13.02	14.06	8.41	18.68	11.26	2.87	14.81	5.49	9.58	11.43	8.48	18.74	8.76	19.97	69.86	78.62	16.06
197352	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi	Gongcheng	24.84	110.86	NA	2011	Ji1	Developed	Terminal	forked	NA	3.11	4.68	4.34	3.76	12.2	4.05	6.67	10.69	19.19	16.04	2.24	11.96	13.65	7.4	16.68	11.12	2.29	13.85	4.6	8.96	11.38	7.96	17.95	7.88	17.72	60.58	68.46	14.58
197353	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi	Gongcheng	24.84	110.86	NA	2011	Ji1	Developed	Terminal	forked	NA	3.48	5.31	4.45	4.01	13.02	4.99	6.94	10.89	22.83	16.59	2.56	12.46	15.97	9.28	16.9	11.62	2.95	12.46	5.15	9.03	11.54	7.74	19.73	10.11	21.41	65.15	75.26	17.37
197354	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi	Gongcheng	24.84	110.86	NA	2011	Ji1	Developed	Terminal	forked	NA	3.52	4.79	4.32	3.45	11.67	5.14	7.58	10.96	20.03	15.6	1.81	10.64	12.77	6.17	14.7	9.33	2.04	10.32	3.48	7.78	9.49	6.8	NA	7.92	18.11	57.91	65.83	9.83
197355	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi	Gongcheng	24.84	110.86	NA	2011	Ji1	Developed	Terminal	forked	NA	3.6	5.5	4.64	3.51	13.01	5.53	7.29	10.72	19.41	16.74	2.68	11.77	14.03	8.06	15.82	10	2.36	12.51	4.83	8.52	10.82	7.67	19.13	8.77	19.13	61.61	70.38	6.7
197356	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi	Gongcheng	24.84	110.86	NA	2011	Ji1	Developed	Terminal	forked	NA	3.28	4.53	4.87	3.13	12.08	5.8	7.59	10.26	19.84	16.08	2.2	10.68	14.3	6.86	13.8	8.98	2.05	10.48	4.28	6.41	11.26	6.59	17.79	7.87	18.09	58.01	65.88	7.37
197357	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi	Gongcheng	24.84	110.86	NA	2011	Ji1	Developed	Terminal	forked	NA	3.32	4.98	3.78	3.34	11.35	4.48	6.54	10.16	20.31	15.07	2.18	10.99	11.78	6.1	13.94	9.79	2.22	10.97	3.88	7.59	8.61	6.21	16.39	8.12	17.7	57.55	65.67	8.38
197358	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi	Gongcheng	24.84	110.86	NA	2011	Ji1	Developed	Terminal	forked	NA	2.67	4.58	4.19	3.38	11.01	4.01	5.82	8.73	18.49	14.73	1.42	10.52	12.48	9.1	13.85	8.74	2.84	10.29	5.5	7.31	10.03	7.08	17.73	8.3	17.73	53.46	61.76	9.42
197359	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi	Gongcheng	24.84	110.86	NA	2011	Ji1	Developed	Terminal	forked	NA	3	4.66	3.99	3.37	10.86	3.88	6.73	9.24	16.58	14.36	1.98	7.65	11.45	6.91	11.54	8.53	2.1	10.07	3.77	6.57	8.75	6.48	15.4	6.86	16.2	51.99	58.85	7.55
197360	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi	Gongcheng	24.84	110.86	NA	2011	Ji1	Developed	Terminal	forked	NA	2.6	4.37	3	3.33	9.84	3.33	6.05	8.55	15.92	14.12	1.66	9.96	12.76	5.82	11.71	8.81	1.7	8.36	3.73	6.36	9.08	5.75	NA	6.95	15.66	47.06	54.01	7.42
197361	Cyprinidae	Sinocyclocheilus	jii	China	Guangxi	Gongcheng	24.84	110.86	NA	2011	Ji1	Developed	Terminal	forked	NA	2.43	3.79	3	2.87	9.33	3.84	5.3	7.5	14.84	12.71	1.32	8.58	10.96	5.38	10.89	7.57	1.4	8.42	3.2	8.38	9.59	5.15	13.35	6.06	13.69	45.06	51.12	3.22
197406	Cyprinidae	Sinocyclocheilus	brevis	China	Guangxi	Luocheng	24.78	108.9	April	2011	Br1	Developed	Sub-Terminal	forked	8.1	4.35	8.13	7.55	6.51	20.96	9.97	12.96	18.59	38.16	24.81	4.59	22.28	21.46	15.58	34.87	17.35	5.36	27.4	9.48	15.98	15.78	15.44	26.28	13.66	27.05	104.53	118.19	69.78
197407	Cyprinidae	Sinocyclocheilus	brevis	China	Guangxi	Luocheng	24.78	108.9	April	2011	Br1	Developed	Sub-Terminal	forked	9.29	5.02	6.99	6.71	6.85	19.83	9.51	12.53	18.53	36.93	25.81	3.91	21.02	18.76	13.11	30.84	15.17	4.86	23.88	6.76	15.85	16.29	13.96	28.14	14.11	28.2	98.32	112.43	90.17
197408	Cyprinidae	Sinocyclocheilus	brevis	China	Guangxi	Luocheng	24.78	108.9	April	2011	Br1	Developed	Sub-Terminal	forked	8.44	3.66	7.46	6.51	6.84	18.93	8.47	10.86	15.95	35.31	24.07	4.05	22.22	15.37	12.62	26.03	15.99	4.06	20.74	7.96	14.22	14.73	13.9	25.46	12.34	26.04	93.02	105.36	66.6
197409	Cyprinidae	Sinocyclocheilus	brevis	China	Guangxi	Luocheng	24.78	108.9	April	2011	Br1	Developed	Sub-Terminal	forked	9.32	4.18	7.83	8.42	7.13	20.49	9.86	12.02	17.96	39.15	24.7	4.27	24.72	21.7	13.47	32.34	16.1	5.09	26.37	9.17	17.19	15.62	15.35	27.7	13.56	28.24	106.57	120.13	85.46
197410	Cyprinidae	Sinocyclocheilus	brevis	China	Guangxi	Luocheng	24.78	108.9	April	2011	Br1	Developed	Sub-Terminal	forked	8.91	4.47	8.36	7.06	6.14	23	8.74	11.44	18.47	38.28	27.48	4.84	24.73	20.22	15.01	33.58	18.36	4.84	26.59	9.71	17.45	18.42	15.46	28.69	14.09	28.96	108.58	122.67	101.72
